t(s)	v(m/s)	w(rad/s)	yx(m)	yy(m)
0.050000	1.000000	0.628319	0.150711	0.054703
0.100000	1.000000	0.628319	0.152845	0.109353
0.150000	1.000000	0.628319	0.156398	0.163894
0.200000	1.000000	0.628319	0.161367	0.218274
0.250000	1.000000	0.628319	0.167748	0.272438
0.300000	1.000000	0.628319	0.175534	0.326334
0.350000	1.000000	0.628319	0.184717	0.379907
0.400000	1.000000	0.628319	0.195289	0.433106
0.450000	1.000000	0.628319	0.207239	0.485877
0.500000	1.000000	0.628319	0.220554	0.538168
0.550000	1.000000	0.628319	0.235223	0.589929
0.600000	1.000000	0.628319	0.251231	0.641107
0.650000	1.000000	0.628319	0.268561	0.691653
0.700000	1.000000	0.628319	0.287197	0.741516
0.750000	1.000000	0.628319	0.307119	0.790647
0.800000	1.000000	0.628319	0.328310	0.838998
0.850000	1.000000	0.628319	0.350747	0.886521
0.900000	1.000000	0.628319	0.374409	0.933169
0.950000	1.000000	0.628319	0.399272	0.978896
1.000000	1.000000	0.628319	0.425311	1.023657
1.050000	1.000000	0.628319	0.452502	1.067408
1.100000	1.000000	0.628319	0.480817	1.110105
1.150000	1.000000	0.628319	0.510227	1.151707
1.200000	1.000000	0.628319	0.540705	1.192173
1.250000	1.000000	0.628319	0.572220	1.231461
1.300000	1.000000	0.628319	0.604741	1.269535
1.350000	1.000000	0.628319	0.638236	1.306356
1.400000	1.000000	0.628319	0.672671	1.341887
1.450000	1.000000	0.628319	0.708014	1.376094
1.500000	1.000000	0.628319	0.744228	1.408943
1.550000	1.000000	0.628319	0.781278	1.440402
1.600000	1.000000	0.628319	0.819129	1.470439
1.650000	1.000000	0.628319	0.857741	1.499025
1.700000	1.000000	0.628319	0.897078	1.526131
1.750000	1.000000	0.628319	0.937100	1.551732
1.800000	1.000000	0.628319	0.977768	1.575801
1.850000	1.000000	0.628319	1.019041	1.598315
1.900000	1.000000	0.628319	1.060880	1.619252
1.950000	1.000000	0.628319	1.103242	1.638590
2.000000	1.000000	0.628319	1.146086	1.656312
2.050000	1.000000	0.628319	1.189370	1.672399
2.100000	1.000000	0.628319	1.233051	1.686835
2.150000	1.000000	0.628319	1.277085	1.699607
2.200000	1.000000	0.628319	1.321430	1.710702
2.250000	1.000000	0.628319	1.366041	1.720108
2.300000	1.000000	0.628319	1.410875	1.727817
2.350000	1.000000	0.628319	1.455888	1.733820
2.400000	1.000000	0.628319	1.501034	1.738113
2.450000	1.000000	0.628319	1.546269	1.740690
2.500000	1.000000	0.628319	1.591549	1.741549
2.550000	1.000000	0.628319	1.636830	1.740690
2.600000	1.000000	0.628319	1.682065	1.738113
2.650000	1.000000	0.628319	1.727211	1.733820
2.700000	1.000000	0.628319	1.772223	1.727817
2.750000	1.000000	0.628319	1.817057	1.720108
2.800000	1.000000	0.628319	1.861669	1.710702
2.850000	1.000000	0.628319	1.906014	1.699607
2.900000	1.000000	0.628319	1.950048	1.686835
2.950000	1.000000	0.628319	1.993729	1.672399
3.000000	1.000000	0.628319	2.037013	1.656312
3.050000	1.000000	0.628319	2.079857	1.638590
3.100000	1.000000	0.628319	2.122219	1.619252
3.150000	1.000000	0.628319	2.164058	1.598315
3.200000	1.000000	0.628319	2.205331	1.575801
3.250000	1.000000	0.628319	2.245999	1.551732
3.300000	1.000000	0.628319	2.286021	1.526131
3.350000	1.000000	0.628319	2.325358	1.499025
3.400000	1.000000	0.628319	2.363970	1.470439
3.450000	1.000000	0.628319	2.401820	1.440402
3.500000	1.000000	0.628319	2.438871	1.408943
3.550000	1.000000	0.628319	2.475085	1.376094
3.600000	1.000000	0.628319	2.510428	1.341887
3.650000	1.000000	0.628319	2.544863	1.306356
3.700000	1.000000	0.628319	2.578358	1.269535
3.750000	1.000000	0.628319	2.610879	1.231461
3.800000	1.000000	0.628319	2.642394	1.192173
3.850000	1.000000	0.628319	2.672872	1.151707
3.900000	1.000000	0.628319	2.702282	1.110105
3.950000	1.000000	0.628319	2.730597	1.067408
4.000000	1.000000	0.628319	2.757787	1.023657
4.050000	1.000000	0.628319	2.783827	0.978896
4.100000	1.000000	0.628319	2.808690	0.933169
4.150000	1.000000	0.628319	2.832352	0.886521
4.200000	1.000000	0.628319	2.854789	0.838998
4.250000	1.000000	0.628319	2.875979	0.790647
4.300000	1.000000	0.628319	2.895902	0.741516
4.350000	1.000000	0.628319	2.914538	0.691653
4.400000	1.000000	0.628319	2.931868	0.641107
4.450000	1.000000	0.628319	2.947876	0.589929
4.500000	1.000000	0.628319	2.962544	0.538168
4.550000	1.000000	0.628319	2.975860	0.485877
4.600000	1.000000	0.628319	2.987810	0.433106
4.650000	1.000000	0.628319	2.998382	0.379907
4.700000	1.000000	0.628319	3.007565	0.326334
4.750000	1.000000	0.628319	3.015351	0.272438
4.800000	1.000000	0.628319	3.021732	0.218274
4.850000	1.000000	0.628319	3.026701	0.163894
4.900000	1.000000	0.628319	3.030254	0.109353
4.950000	1.000000	0.628319	3.032388	0.054703
5.000000	1.000000	0.628319	3.033099	-0.000000
5.050000	1.000000	0.628319	3.032388	-0.054703
5.100000	1.000000	0.628319	3.030254	-0.109353
5.150000	1.000000	0.628319	3.026701	-0.163894
5.200000	1.000000	0.628319	3.021732	-0.218274
5.250000	1.000000	0.628319	3.015351	-0.272438
5.300000	1.000000	0.628319	3.007565	-0.326334
5.350000	1.000000	0.628319	2.998382	-0.379907
5.400000	1.000000	0.628319	2.987810	-0.433106
5.450000	1.000000	0.628319	2.975860	-0.485877
5.500000	1.000000	0.628319	2.962544	-0.538168
5.550000	1.000000	0.628319	2.947876	-0.589929
5.600000	1.000000	0.628319	2.931868	-0.641107
5.650000	1.000000	0.628319	2.914538	-0.691653
5.700000	1.000000	0.628319	2.895902	-0.741516
5.750000	1.000000	0.628319	2.875979	-0.790647
5.800000	1.000000	0.628319	2.854789	-0.838998
5.850000	1.000000	0.628319	2.832352	-0.886521
5.900000	1.000000	0.628319	2.808690	-0.933169
5.950000	1.000000	0.628319	2.783827	-0.978896
6.000000	1.000000	0.628319	2.757787	-1.023657
6.050000	1.000000	0.628319	2.730597	-1.067408
6.100000	1.000000	0.628319	2.702282	-1.110105
6.150000	1.000000	0.628319	2.672872	-1.151707
6.200000	1.000000	0.628319	2.642394	-1.192173
6.250000	1.000000	0.628319	2.610879	-1.231461
6.300000	1.000000	0.628319	2.578358	-1.269535
6.350000	1.000000	0.628319	2.544863	-1.306356
6.400000	1.000000	0.628319	2.510428	-1.341887
6.450000	1.000000	0.628319	2.475085	-1.376094
6.500000	1.000000	0.628319	2.438871	-1.408943
6.550000	1.000000	0.628319	2.401820	-1.440402
6.600000	1.000000	0.628319	2.363970	-1.470439
6.650000	1.000000	0.628319	2.325358	-1.499025
6.700000	1.000000	0.628319	2.286021	-1.526131
6.750000	1.000000	0.628319	2.245999	-1.551732
6.800000	1.000000	0.628319	2.205331	-1.575801
6.850000	1.000000	0.628319	2.164058	-1.598315
6.900000	1.000000	0.628319	2.122219	-1.619252
6.950000	1.000000	0.628319	2.079857	-1.638590
7.000000	1.000000	0.628319	2.037013	-1.656312
7.050000	1.000000	0.628319	1.993729	-1.672399
7.100000	1.000000	0.628319	1.950048	-1.686835
7.150000	1.000000	0.628319	1.906014	-1.699607
7.200000	1.000000	0.628319	1.861669	-1.710702
7.250000	1.000000	0.628319	1.817057	-1.720108
7.300000	1.000000	0.628319	1.772223	-1.727817
7.350000	1.000000	0.628319	1.727211	-1.733820
7.400000	1.000000	0.628319	1.682065	-1.738113
7.450000	1.000000	0.628319	1.636830	-1.740690
7.500000	1.000000	0.628319	1.591549	-1.741549
7.550000	1.000000	0.628319	1.546269	-1.740690
7.600000	1.000000	0.628319	1.501034	-1.738113
7.650000	1.000000	0.628319	1.455888	-1.733820
7.700000	1.000000	0.628319	1.410875	-1.727817
7.750000	1.000000	0.628319	1.366041	-1.720108
7.800000	1.000000	0.628319	1.321430	-1.710702
7.850000	1.000000	0.628319	1.277085	-1.699607
7.900000	1.000000	0.628319	1.233051	-1.686835
7.950000	1.000000	0.628319	1.189370	-1.672399
8.000000	1.000000	0.628319	1.146086	-1.656312
8.050000	1.000000	0.628319	1.103242	-1.638590
8.100000	1.000000	0.628319	1.060880	-1.619252
8.150000	1.000000	0.628319	1.019041	-1.598315
8.200000	1.000000	0.628319	0.977768	-1.575801
8.250000	1.000000	0.628319	0.937100	-1.551732
8.300000	1.000000	0.628319	0.897078	-1.526131
8.350000	1.000000	0.628319	0.857741	-1.499025
8.400000	1.000000	0.628319	0.819129	-1.470439
8.450000	1.000000	0.628319	0.781278	-1.440402
8.500000	1.000000	0.628319	0.744228	-1.408943
8.550000	1.000000	0.628319	0.708014	-1.376094
8.600000	1.000000	0.628319	0.672671	-1.341887
8.650000	1.000000	0.628319	0.638236	-1.306356
8.700000	1.000000	0.628319	0.604741	-1.269535
8.750000	1.000000	0.628319	0.572220	-1.231461
8.800000	1.000000	0.628319	0.540705	-1.192173
8.850000	1.000000	0.628319	0.510227	-1.151707
8.900000	1.000000	0.628319	0.480817	-1.110105
8.950000	1.000000	0.628319	0.452502	-1.067408
9.000000	1.000000	0.628319	0.425311	-1.023657
9.050000	1.000000	0.628319	0.399272	-0.978896
9.100000	1.000000	0.628319	0.374409	-0.933169
9.150000	1.000000	0.628319	0.350747	-0.886521
9.200000	1.000000	0.628319	0.328310	-0.838998
9.250000	1.000000	0.628319	0.307119	-0.790647
9.300000	1.000000	0.628319	0.287197	-0.741516
9.350000	1.000000	0.628319	0.268561	-0.691653
9.400000	1.000000	0.628319	0.251231	-0.641107
9.450000	1.000000	0.628319	0.235223	-0.589929
9.500000	1.000000	0.628319	0.220554	-0.538168
9.550000	1.000000	0.628319	0.207239	-0.485877
9.600000	1.000000	0.628319	0.195289	-0.433106
9.650000	1.000000	0.628319	0.184717	-0.379907
9.700000	1.000000	0.628319	0.175534	-0.326334
9.750000	1.000000	0.628319	0.167748	-0.272438
9.800000	1.000000	0.628319	0.161367	-0.218274
9.850000	1.000000	0.628319	0.156398	-0.163894
9.900000	1.000000	0.628319	0.152845	-0.109353
9.950000	1.000000	0.628319	0.150711	-0.054703
10.000000	1.000000	0.628319	0.150000	-0.000000
10.050000	1.000000	-0.628319	0.149141	0.045280
10.100000	1.000000	-0.628319	0.146563	0.090516
10.150000	1.000000	-0.628319	0.142271	0.135662
10.200000	1.000000	-0.628319	0.136267	0.180674
10.250000	1.000000	-0.628319	0.128559	0.225508
10.300000	1.000000	-0.628319	0.119152	0.270119
10.350000	1.000000	-0.628319	0.108058	0.314464
10.400000	1.000000	-0.628319	0.095286	0.358499
10.450000	1.000000	-0.628319	0.080849	0.402179
10.500000	1.000000	-0.628319	0.064763	0.445463
10.550000	1.000000	-0.628319	0.047041	0.488307
10.600000	1.000000	-0.628319	0.027702	0.530670
10.650000	1.000000	-0.628319	0.006766	0.572508
10.700000	1.000000	-0.628319	-0.015748	0.613782
10.750000	1.000000	-0.628319	-0.039818	0.654450
10.800000	1.000000	-0.628319	-0.065418	0.694472
10.850000	1.000000	-0.628319	-0.092525	0.733808
10.900000	1.000000	-0.628319	-0.121111	0.772421
10.950000	1.000000	-0.628319	-0.151148	0.810271
11.000000	1.000000	-0.628319	-0.182606	0.847321
11.050000	1.000000	-0.628319	-0.215455	0.883536
11.100000	1.000000	-0.628319	-0.249663	0.918878
11.150000	1.000000	-0.628319	-0.285194	0.953314
11.200000	1.000000	-0.628319	-0.322015	0.986808
11.250000	1.000000	-0.628319	-0.360088	1.019329
11.300000	1.000000	-0.628319	-0.399377	1.050844
11.350000	1.000000	-0.628319	-0.439842	1.081322
11.400000	1.000000	-0.628319	-0.481444	1.110733
11.450000	1.000000	-0.628319	-0.524142	1.139048
11.500000	1.000000	-0.628319	-0.567892	1.166238
11.550000	1.000000	-0.628319	-0.612653	1.192278
11.600000	1.000000	-0.628319	-0.658381	1.217140
11.650000	1.000000	-0.628319	-0.705029	1.240802
11.700000	1.000000	-0.628319	-0.752552	1.263239
11.750000	1.000000	-0.628319	-0.800903	1.284430
11.800000	1.000000	-0.628319	-0.850034	1.304353
11.850000	1.000000	-0.628319	-0.899897	1.322989
11.900000	1.000000	-0.628319	-0.950442	1.340319
11.950000	1.000000	-0.628319	-1.001621	1.356326
12.000000	1.000000	-0.628319	-1.053381	1.370995
12.050000	1.000000	-0.628319	-1.105673	1.384311
12.100000	1.000000	-0.628319	-1.158444	1.396261
12.150000	1.000000	-0.628319	-1.211642	1.406832
12.200000	1.000000	-0.628319	-1.265216	1.416016
12.250000	1.000000	-0.628319	-1.319111	1.423802
12.300000	1.000000	-0.628319	-1.373275	1.430182
12.350000	1.000000	-0.628319	-1.427655	1.435152
12.400000	1.000000	-0.628319	-1.482197	1.438705
12.450000	1.000000	-0.628319	-1.536846	1.440838
12.500000	1.000000	-0.628319	-1.591549	1.441549
12.550000	1.000000	-0.628319	-1.646253	1.440838
12.600000	1.000000	-0.628319	-1.700902	1.438705
12.650000	1.000000	-0.628319	-1.755444	1.435152
12.700000	1.000000	-0.628319	-1.809823	1.430182
12.750000	1.000000	-0.628319	-1.863988	1.423802
12.800000	1.000000	-0.628319	-1.917883	1.416016
12.850000	1.000000	-0.628319	-1.971457	1.406832
12.900000	1.000000	-0.628319	-2.024655	1.396261
12.950000	1.000000	-0.628319	-2.077426	1.384311
13.000000	1.000000	-0.628319	-2.129718	1.370995
13.050000	1.000000	-0.628319	-2.181478	1.356326
13.100000	1.000000	-0.628319	-2.232657	1.340319
13.150000	1.000000	-0.628319	-2.283202	1.322989
13.200000	1.000000	-0.628319	-2.333065	1.304353
13.250000	1.000000	-0.628319	-2.382196	1.284430
13.300000	1.000000	-0.628319	-2.430547	1.263239
13.350000	1.000000	-0.628319	-2.478070	1.240802
13.400000	1.000000	-0.628319	-2.524718	1.217140
13.450000	1.000000	-0.628319	-2.570445	1.192278
13.500000	1.000000	-0.628319	-2.615207	1.166238
13.550000	1.000000	-0.628319	-2.658957	1.139048
13.600000	1.000000	-0.628319	-2.701655	1.110733
13.650000	1.000000	-0.628319	-2.743257	1.081322
13.700000	1.000000	-0.628319	-2.783722	1.050844
13.750000	1.000000	-0.628319	-2.823011	1.019329
13.800000	1.000000	-0.628319	-2.861084	0.986808
13.850000	1.000000	-0.628319	-2.897905	0.953314
13.900000	1.000000	-0.628319	-2.933436	0.918878
13.950000	1.000000	-0.628319	-2.967643	0.883536
14.000000	1.000000	-0.628319	-3.000493	0.847321
14.050000	1.000000	-0.628319	-3.031951	0.810271
14.100000	1.000000	-0.628319	-3.061988	0.772421
14.150000	1.000000	-0.628319	-3.090574	0.733808
14.200000	1.000000	-0.628319	-3.117681	0.694472
14.250000	1.000000	-0.628319	-3.143281	0.654450
14.300000	1.000000	-0.628319	-3.167350	0.613782
14.350000	1.000000	-0.628319	-3.189864	0.572508
14.400000	1.000000	-0.628319	-3.210801	0.530670
14.450000	1.000000	-0.628319	-3.230140	0.488307
14.500000	1.000000	-0.628319	-3.247861	0.445463
14.550000	1.000000	-0.628319	-3.263948	0.402179
14.600000	1.000000	-0.628319	-3.278385	0.358499
14.650000	1.000000	-0.628319	-3.291157	0.314464
14.700000	1.000000	-0.628319	-3.302251	0.270119
14.750000	1.000000	-0.628319	-3.311657	0.225508
14.800000	1.000000	-0.628319	-3.319366	0.180674
14.850000	1.000000	-0.628319	-3.325370	0.135662
14.900000	1.000000	-0.628319	-3.329662	0.090516
14.950000	1.000000	-0.628319	-3.332240	0.045280
15.000000	1.000000	-0.628319	-3.333099	-0.000000
15.050000	1.000000	-0.628319	-3.332240	-0.045280
15.100000	1.000000	-0.628319	-3.329662	-0.090516
15.150000	1.000000	-0.628319	-3.325370	-0.135662
15.200000	1.000000	-0.628319	-3.319366	-0.180674
15.250000	1.000000	-0.628319	-3.311657	-0.225508
15.300000	1.000000	-0.628319	-3.302251	-0.270119
15.350000	1.000000	-0.628319	-3.291157	-0.314464
15.400000	1.000000	-0.628319	-3.278385	-0.358499
15.450000	1.000000	-0.628319	-3.263948	-0.402179
15.500000	1.000000	-0.628319	-3.247861	-0.445463
15.550000	1.000000	-0.628319	-3.230140	-0.488307
15.600000	1.000000	-0.628319	-3.210801	-0.530670
15.650000	1.000000	-0.628319	-3.189864	-0.572508
15.700000	1.000000	-0.628319	-3.167350	-0.613782
15.750000	1.000000	-0.628319	-3.143281	-0.654450
15.800000	1.000000	-0.628319	-3.117681	-0.694472
15.850000	1.000000	-0.628319	-3.090574	-0.733808
15.900000	1.000000	-0.628319	-3.061988	-0.772421
15.950000	1.000000	-0.628319	-3.031951	-0.810271
16.000000	1.000000	-0.628319	-3.000493	-0.847321
16.050000	1.000000	-0.628319	-2.967643	-0.883536
16.100000	1.000000	-0.628319	-2.933436	-0.918878
16.150000	1.000000	-0.628319	-2.897905	-0.953314
16.200000	1.000000	-0.628319	-2.861084	-0.986808
16.250000	1.000000	-0.628319	-2.823011	-1.019329
16.300000	1.000000	-0.628319	-2.783722	-1.050844
16.350000	1.000000	-0.628319	-2.743257	-1.081322
16.400000	1.000000	-0.628319	-2.701655	-1.110733
16.450000	1.000000	-0.628319	-2.658957	-1.139048
16.500000	1.000000	-0.628319	-2.615207	-1.166238
16.550000	1.000000	-0.628319	-2.570445	-1.192278
16.600000	1.000000	-0.628319	-2.524718	-1.217140
16.650000	1.000000	-0.628319	-2.478070	-1.240802
16.700000	1.000000	-0.628319	-2.430547	-1.263239
16.750000	1.000000	-0.628319	-2.382196	-1.284430
16.800000	1.000000	-0.628319	-2.333065	-1.304353
16.850000	1.000000	-0.628319	-2.283202	-1.322989
16.900000	1.000000	-0.628319	-2.232657	-1.340319
16.950000	1.000000	-0.628319	-2.181478	-1.356326
17.000000	1.000000	-0.628319	-2.129718	-1.370995
17.050000	1.000000	-0.628319	-2.077426	-1.384311
17.100000	1.000000	-0.628319	-2.024655	-1.396261
17.150000	1.000000	-0.628319	-1.971457	-1.406832
17.200000	1.000000	-0.628319	-1.917883	-1.416016
17.250000	1.000000	-0.628319	-1.863988	-1.423802
17.300000	1.000000	-0.628319	-1.809823	-1.430182
17.350000	1.000000	-0.628319	-1.755444	-1.435152
17.400000	1.000000	-0.628319	-1.700902	-1.438705
17.450000	1.000000	-0.628319	-1.646253	-1.440838
17.500000	1.000000	-0.628319	-1.591549	-1.441549
17.550000	1.000000	-0.628319	-1.536846	-1.440838
17.600000	1.000000	-0.628319	-1.482197	-1.438705
17.650000	1.000000	-0.628319	-1.427655	-1.435152
17.700000	1.000000	-0.628319	-1.373275	-1.430182
17.750000	1.000000	-0.628319	-1.319111	-1.423802
17.800000	1.000000	-0.628319	-1.265216	-1.416016
17.850000	1.000000	-0.628319	-1.211642	-1.406832
17.900000	1.000000	-0.628319	-1.158444	-1.396261
17.950000	1.000000	-0.628319	-1.105673	-1.384311
18.000000	1.000000	-0.628319	-1.053381	-1.370995
18.050000	1.000000	-0.628319	-1.001621	-1.356326
18.100000	1.000000	-0.628319	-0.950442	-1.340319
18.150000	1.000000	-0.628319	-0.899897	-1.322989
18.200000	1.000000	-0.628319	-0.850034	-1.304353
18.250000	1.000000	-0.628319	-0.800903	-1.284430
18.300000	1.000000	-0.628319	-0.752552	-1.263239
18.350000	1.000000	-0.628319	-0.705029	-1.240802
18.400000	1.000000	-0.628319	-0.658381	-1.217140
18.450000	1.000000	-0.628319	-0.612653	-1.192278
18.500000	1.000000	-0.628319	-0.567892	-1.166238
18.550000	1.000000	-0.628319	-0.524142	-1.139048
18.600000	1.000000	-0.628319	-0.481444	-1.110733
18.650000	1.000000	-0.628319	-0.439842	-1.081322
18.700000	1.000000	-0.628319	-0.399377	-1.050844
18.750000	1.000000	-0.628319	-0.360088	-1.019329
18.800000	1.000000	-0.628319	-0.322015	-0.986808
18.850000	1.000000	-0.628319	-0.285194	-0.953314
18.900000	1.000000	-0.628319	-0.249663	-0.918878
18.950000	1.000000	-0.628319	-0.215455	-0.883536
19.000000	1.000000	-0.628319	-0.182606	-0.847321
19.050000	1.000000	-0.628319	-0.151148	-0.810271
19.100000	1.000000	-0.628319	-0.121111	-0.772421
19.150000	1.000000	-0.628319	-0.092525	-0.733808
19.200000	1.000000	-0.628319	-0.065418	-0.694472
19.250000	1.000000	-0.628319	-0.039818	-0.654450
19.300000	1.000000	-0.628319	-0.015748	-0.613782
19.350000	1.000000	-0.628319	0.006766	-0.572508
19.400000	1.000000	-0.628319	0.027702	-0.530670
19.450000	1.000000	-0.628319	0.047041	-0.488307
19.500000	1.000000	-0.628319	0.064763	-0.445463
19.550000	1.000000	-0.628319	0.080849	-0.402179
19.600000	1.000000	-0.628319	0.095286	-0.358499
19.650000	1.000000	-0.628319	0.108058	-0.314464
19.700000	1.000000	-0.628319	0.119152	-0.270119
19.750000	1.000000	-0.628319	0.128559	-0.225508
19.800000	1.000000	-0.628319	0.136267	-0.180674
19.850000	1.000000	-0.628319	0.142271	-0.135662
19.900000	1.000000	-0.628319	0.146563	-0.090516
19.950000	1.000000	-0.628319	0.149141	-0.045280
20.000000	1.000000	-0.628319	0.150000	-0.000000
